Genera	"AVG (Control)"	"SD (Control)"	"AVG (pHTN)"	"SD (pHTN)"	"AVG (HTN)"	"SD (HTN)"	DiffNum	DiffPairs	Pairs-P-values	Pairs-Q-values
Prevotella	0.142065	0.206205	0.236028	0.235676	0.21216	0.22724	1	Control_VS_pHTN	0.09810868	0.09810868
Faecalibacterium	0.087594	0.067383	0.092293	0.083784	0.070873	0.075585	2	"Control_VS_HTN,pHTN_VS_HTN"	"0.04067603,0.05162236"	"0.0549126405,0.0860372666666667"
Klebsiella	0.003509	0.009758	0.016538	0.041727	0.008549	0.028636	2	"Control_VS_pHTN,pHTN_VS_HTN"	"0.04422713,0.003081914"	"0.057495269,0.03081914"
Roseburia	0.020258	0.025262	0.011726	0.010148	0.016381	0.024708	1	Control_VS_HTN	0.04538947	0.05835789
Bifidobacterium	0.005017	0.009506	0.002668	0.006461	0.00429	0.013786	1	Control_VS_pHTN	0.07299745	0.079080571
Enterobacter	0.002458	0.013815	0.006629	0.019367	0.001032	0.004768	1	pHTN_VS_HTN	0.006149956	0.03074978
Clostridium	0.02622	0.017283	0.02033	0.014765	0.021401	0.01741	2	"Control_VS_pHTN,Control_VS_HTN"	"0.0233578,0.0324845"	"0.0414070090909091,0.0461621842105263"
Oscillibacter	0.019845	0.018925	0.013341	0.019162	0.012318	0.01577	2	"Control_VS_pHTN,Control_VS_HTN"	"0.01092656,0.007190754"	"0.02663349,0.0176500325454545"
Azospirillum	0.000855	0.004464	0.000148	0.000487	0.001971	0.009797	2	"Control_VS_pHTN,pHTN_VS_HTN"	"0.08815478,0.04942648"	"0.0904746426315789,0.09885296"
Akkermansia	0.002637	0.009516	0.001041	0.005957	0.000449	0.001676	2	"Control_VS_pHTN,Control_VS_HTN"	"0.06625956,0.01324013"	"0.0760036129411765,0.0255345364285714"
Ruminococcus	0.008519	0.008058	0.005624	0.007169	0.008058	0.009691	2	"Control_VS_pHTN,Control_VS_HTN"	"0.003612197,0.09109407"	"0.017609460375,0.10248082875"
Subdoligranulum	0.008746	0.009556	0.00493	0.006488	0.005246	0.006231	2	"Control_VS_pHTN,Control_VS_HTN"	"0.008291195,0.01581583"	"0.0230969003571429,0.028468494"
Bilophila	0.006315	0.007586	0.002643	0.003603	0.004316	0.006639	1	Control_VS_pHTN	0.03092872	0.04639308
Blautia	0.004787	0.005136	0.003148	0.002949	0.00382	0.005111	2	"Control_VS_pHTN,Control_VS_HTN"	"0.0419677,0.09286076"	"0.0584550107142857,0.0964323276923077"
Lachnoclostridium	0.005212	0.003614	0.004015	0.002912	0.004571	0.003993	1	Control_VS_pHTN	0.02666335	0.043327944
Actinomyces	0.000184	0.000327	0.000104	0.000164	0.000512	0.003068	1	pHTN_VS_HTN	0.06280118	0.089715971
Desulfovibrio	0.000697	0.001602	0.000408	0.000966	0.001088	0.00374	1	Control_VS_pHTN	0.06956155	0.077511441
Coprococcus	0.00155	0.002192	0.001305	0.003066	0.001215	0.001456	1	Control_VS_pHTN	0.01163153	0.026684098
Butyricicoccus	0.001152	0.003062	0.000531	0.000544	0.00062	0.001058	2	"Control_VS_pHTN,Control_VS_HTN"	"0.04346284,0.02258713"	"0.0584500262068966,0.033880695"
Anaerotruncus	0.001099	0.001014	0.000849	0.001334	0.000963	0.002193	2	"Control_VS_pHTN,Control_VS_HTN"	"0.01025982,0.002509893"	"0.026675532,0.008470888875"
Streptococcus	0.000157	0.000091	0.000564	0.002466	0.000197	0.000263	1	Control_VS_pHTN	0.05431728	0.066199185
T7likevirus	0	0.000001	0.000017	0.00008	0.000224	0.001677	2	"Control_VS_pHTN,pHTN_VS_HTN"	"0.004121194,0.07385136"	"0.014611506,0.0820570666666667"
