source	extracted_bacteria	is_present
https://www.nature.com/articles/s41598-023-32901-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus rhamnosus	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Bacteroides fragilis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-021-99127-w	Escherichia coli	False
https://www.nature.com/articles/s41598-021-99127-w	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-021-99127-w	Clostridium difficile	False
https://www.nature.com/articles/s41598-021-99127-w	Helicobacter pylori	False
https://www.nature.com/articles/s41598-021-83524-2	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-021-83524-2	Escherichia coli	False
https://www.nature.com/articles/s41598-021-83524-2	Clostridium difficile	False
https://www.nature.com/articles/s41598-021-83524-2	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41598-021-83524-2	Helicobacter pylori	False
https://www.nature.com/articles/s12276-022-00846-5	Bacteroides fragilis	False
https://www.nature.com/articles/s12276-022-00846-5	Escherichia coli	False
https://www.nature.com/articles/s12276-022-00846-5	Lactobacillus plantarum	False
https://www.nature.com/articles/s12276-022-00846-5	Streptococcus mutans	False
https://www.nature.com/articles/ncomms11240	Escherichia coli	False
https://www.nature.com/articles/ncomms11240	Clostridium difficile	False
https://www.nature.com/articles/ncomms11240	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41522-021-00185-9	Escherichia coli	False
https://www.nature.com/articles/s41522-021-00185-9	Staphylococcus aureus	False
https://www.nature.com/articles/s41522-021-00185-9	Clostridium difficile	False
https://www.nature.com/articles/s41522-021-00185-9	Helicobacter pylori	False
https://www.nature.com/articles/s41522-021-00185-9	Salmonella enterica	False
https://www.nature.com/articles/s41385-020-00344-9	Bacteroides fragilis	False
https://www.nature.com/articles/s41385-020-00344-9	Escherichia coli	False
https://www.nature.com/articles/s41385-020-00344-9	Lactobacillus	False
https://www.nature.com/articles/s41385-020-00344-9	Streptococcus	False
https://www.nature.com/articles/s41533-023-00334-x	Bacteroides fragilis	False
https://www.nature.com/articles/s41533-023-00334-x	Escherichia coli	False
https://www.nature.com/articles/s41533-023-00334-x	Lactobacillus	False
https://www.nature.com/articles/s41598-023-38714-5	Escherichia coli	False
https://www.nature.com/articles/s41598-023-38714-5	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-023-38714-5	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-38714-5	Helicobacter pylori	False
https://www.nature.com/articles/s41598-017-10126-2	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-017-10126-2	Escherichia coli	False
https://www.nature.com/articles/s41598-017-10126-2	Lactobacillus	False
https://www.nature.com/articles/s41598-017-10126-2	Streptococcus	False
https://www.mdpi.com/1422-0067/25/7/4058	Escherichia coli	False
https://www.mdpi.com/1422-0067/25/7/4058	Streptococcus mutans	False
https://www.mdpi.com/1422-0067/25/7/4058	Lactobacillus acidophilus	False
https://www.mdpi.com/1422-0067/25/7/4058	Clostridium difficile	False
https://www.mdpi.com/1422-0067/24/15/12296	Escherichia coli	True
https://www.mdpi.com/1422-0067/24/15/12296	Streptococcus mutans	False
https://www.mdpi.com/1422-0067/24/15/12296	Lactobacillus acidophilus	False
https://www.mdpi.com/1422-0067/24/15/12296	Staphylococcus aureus	True
https://www.mdpi.com/1422-0067/24/15/12296	Pseudomonas aeruginosa	True
https://www.mdpi.com/2075-4426/13/5/804	Escherichia coli	False
https://www.mdpi.com/2075-4426/13/5/804	Streptococcus pneumoniae	True
https://www.mdpi.com/2075-4426/13/5/804	Staphylococcus aureus	False
https://www.mdpi.com/2075-4426/13/5/804	Mycobacterium tuberculosis	False
https://www.mdpi.com/1422-0067/24/3/2859	Escherichia coli	False
https://www.mdpi.com/1422-0067/24/3/2859	Streptococcus pneumoniae	False
https://www.mdpi.com/1422-0067/24/3/2859	Lactobacillus plantarum	False
https://www.mdpi.com/1422-0067/24/3/2859	Bacillus subtilis	False
https://www.mdpi.com/1422-0067/24/3/2859	Pseudomonas aeruginosa	False
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149095	Escherichia coli	True
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149095	Staphylococcus aureus	False
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149095	Salmonella enterica	False
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149095	Clostridium difficile	False
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149095	Helicobacter pylori	False
