source	extracted_bacteria	is_present
https://www.nature.com/articles/s41598-023-32901-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus rhamnosus	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Helicobacter pylori	False
https://www.nature.com/articles/s41598-023-32901-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Streptococcus pneumoniae	True
https://www.nature.com/articles/s41598-023-32901-0	Helicobacter pylori	False
https://www.nature.com/articles/s41598-023-32901-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-023-32901-0	Streptococcus mutans	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Helicobacter pylori	False
https://www.nature.com/articles/s41598-023-32901-0	Salmonella enterica	False
https://www.nature.com/articles/s41598-023-32901-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus	True
https://www.nature.com/articles/s41598-023-32901-0	Streptococcus	True
https://www.nature.com/articles/s41598-023-32901-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus	True
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Helicobacter pylori	False
https://www.nature.com/articles/s41598-023-32901-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus	True
https://www.nature.com/articles/s41598-023-32901-0	Streptococcus	True
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Streptococcus mutans	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Streptococcus mutans	False
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-023-32901-0	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-023-32901-0	Pseudomonas aeruginosa	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Streptococcus pneumoniae	True
https://www.nature.com/articles/s41598-023-32901-0	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-023-32901-0	Mycobacterium tuberculosis	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Streptococcus pneumoniae	True
https://www.nature.com/articles/s41598-023-32901-0	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-023-32901-0	Bacillus subtilis	False
https://www.nature.com/articles/s41598-023-32901-0	Pseudomonas aeruginosa	False
https://www.nature.com/articles/s41598-023-32901-0	Escherichia coli	False
https://www.nature.com/articles/s41598-023-32901-0	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-023-32901-0	Salmonella enterica	False
https://www.nature.com/articles/s41598-023-32901-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-023-32901-0	Helicobacter pylori	False
https://www.nature.com/articles/emm20177	Bacteroides fragilis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Lactobacillus rhamnosus	False
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Bacteroides fragilis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Lactobacillus acidophilus	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Staphylococcus aureus	True
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Helicobacter pylori	False
https://www.nature.com/articles/emm20177	Bacteroides fragilis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Streptococcus pneumoniae	False
https://www.nature.com/articles/emm20177	Helicobacter pylori	False
https://www.nature.com/articles/emm20177	Bacteroides fragilis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Lactobacillus plantarum	False
https://www.nature.com/articles/emm20177	Streptococcus mutans	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Lactobacillus acidophilus	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Staphylococcus aureus	True
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Helicobacter pylori	False
https://www.nature.com/articles/emm20177	Salmonella enterica	False
https://www.nature.com/articles/emm20177	Bacteroides fragilis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Lactobacillus	True
https://www.nature.com/articles/emm20177	Streptococcus	False
https://www.nature.com/articles/emm20177	Bacteroides fragilis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Lactobacillus	True
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Staphylococcus aureus	True
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Helicobacter pylori	False
https://www.nature.com/articles/emm20177	Bacteroides fragilis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Lactobacillus	True
https://www.nature.com/articles/emm20177	Streptococcus	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Streptococcus mutans	False
https://www.nature.com/articles/emm20177	Lactobacillus acidophilus	False
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Streptococcus mutans	False
https://www.nature.com/articles/emm20177	Lactobacillus acidophilus	False
https://www.nature.com/articles/emm20177	Staphylococcus aureus	True
https://www.nature.com/articles/emm20177	Pseudomonas aeruginosa	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Streptococcus pneumoniae	False
https://www.nature.com/articles/emm20177	Staphylococcus aureus	True
https://www.nature.com/articles/emm20177	Mycobacterium tuberculosis	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Streptococcus pneumoniae	False
https://www.nature.com/articles/emm20177	Lactobacillus plantarum	False
https://www.nature.com/articles/emm20177	Bacillus subtilis	False
https://www.nature.com/articles/emm20177	Pseudomonas aeruginosa	False
https://www.nature.com/articles/emm20177	Escherichia coli	False
https://www.nature.com/articles/emm20177	Staphylococcus aureus	True
https://www.nature.com/articles/emm20177	Salmonella enterica	False
https://www.nature.com/articles/emm20177	Clostridium difficile	False
https://www.nature.com/articles/emm20177	Helicobacter pylori	False
https://www.nature.com/articles/s41598-021-99127-w	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-021-99127-w	Escherichia coli	False
https://www.nature.com/articles/s41598-021-99127-w	Lactobacillus rhamnosus	False
https://www.nature.com/articles/s41598-021-99127-w	Clostridium difficile	False
https://www.nature.com/articles/s41598-021-99127-w	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-021-99127-w	Escherichia coli	False
https://www.nature.com/articles/s41598-021-99127-w	Clostridium difficile	False
https://www.nature.com/articles/s41598-021-99127-w	Lactobacillus acidophilus	False
