source	extracted_bacteria	is_present
https://www.nature.com/articles/s41598-018-27682-w	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Lactobacillus	True
https://www.nature.com/articles/s41598-018-27682-w	Clostridium difficile	True
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus	False
https://www.nature.com/articles/s41598-018-27682-w	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Lactobacillus	True
https://www.nature.com/articles/s41598-018-27682-w	Clostridium difficile	True
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Lactobacillus	True
https://www.nature.com/articles/s41598-018-27682-w	Bifidobacterium	True
https://www.nature.com/articles/s41598-018-27682-w	Clostridium difficile	True
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus	False
https://www.nature.com/articles/s41598-018-27682-w	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus mutans	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41598-018-27682-w	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-018-27682-w	Clostridium difficile	True
https://www.nature.com/articles/s41598-018-27682-w	Pseudomonas aeruginosa	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-27682-w	Clostridium difficile	True
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus mutans	False
https://www.nature.com/articles/s41598-018-27682-w	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-018-27682-w	Clostridium difficile	True
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-27682-w	Lactobacillus	True
https://www.nature.com/articles/s41598-018-27682-w	Clostridium difficile	True
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41598-018-27682-w	Salmonella enterica	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41598-018-27682-w	Pseudomonas aeruginosa	False
https://www.nature.com/articles/s41598-018-27682-w	Mycobacterium tuberculosis	False
https://www.nature.com/articles/s41598-018-27682-w	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-27682-w	Escherichia coli	False
https://www.nature.com/articles/s41598-018-27682-w	Lactobacillus	True
https://www.nature.com/articles/s41598-018-27682-w	Streptococcus	False
https://www.mdpi.com/2072-6643/16/7/1025	Bacteroides fragilis	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Lactobacillus	True
https://www.mdpi.com/2072-6643/16/7/1025	Clostridium difficile	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus	True
https://www.mdpi.com/2072-6643/16/7/1025	Bacteroides fragilis	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Lactobacillus	True
https://www.mdpi.com/2072-6643/16/7/1025	Clostridium difficile	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus	True
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Lactobacillus	True
https://www.mdpi.com/2072-6643/16/7/1025	Bifidobacterium	True
https://www.mdpi.com/2072-6643/16/7/1025	Clostridium difficile	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus	True
https://www.mdpi.com/2072-6643/16/7/1025	Bacteroides fragilis	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Lactobacillus plantarum	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus mutans	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus pneumoniae	False
https://www.mdpi.com/2072-6643/16/7/1025	Lactobacillus plantarum	False
https://www.mdpi.com/2072-6643/16/7/1025	Clostridium difficile	False
https://www.mdpi.com/2072-6643/16/7/1025	Pseudomonas aeruginosa	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Bacteroides fragilis	False
https://www.mdpi.com/2072-6643/16/7/1025	Clostridium difficile	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus pneumoniae	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus mutans	False
https://www.mdpi.com/2072-6643/16/7/1025	Lactobacillus acidophilus	False
https://www.mdpi.com/2072-6643/16/7/1025	Clostridium difficile	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Bacteroides fragilis	False
https://www.mdpi.com/2072-6643/16/7/1025	Lactobacillus	True
https://www.mdpi.com/2072-6643/16/7/1025	Clostridium difficile	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus	True
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Staphylococcus aureus	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus pneumoniae	False
https://www.mdpi.com/2072-6643/16/7/1025	Salmonella enterica	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Staphylococcus aureus	False
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus pneumoniae	False
https://www.mdpi.com/2072-6643/16/7/1025	Pseudomonas aeruginosa	False
https://www.mdpi.com/2072-6643/16/7/1025	Mycobacterium tuberculosis	False
https://www.mdpi.com/2072-6643/16/7/1025	Bacteroides fragilis	False
https://www.mdpi.com/2072-6643/16/7/1025	Escherichia coli	False
https://www.mdpi.com/2072-6643/16/7/1025	Lactobacillus	True
https://www.mdpi.com/2072-6643/16/7/1025	Streptococcus	True
https://www.mdpi.com/2227-9059/12/1/169	Bacteroides fragilis	False
https://www.mdpi.com/2227-9059/12/1/169	Escherichia coli	False
https://www.mdpi.com/2227-9059/12/1/169	Lactobacillus	True
https://www.mdpi.com/2227-9059/12/1/169	Clostridium difficile	True
https://www.mdpi.com/2227-9059/12/1/169	Streptococcus	True
https://www.mdpi.com/2227-9059/12/1/169	Bacteroides fragilis	False
https://www.mdpi.com/2227-9059/12/1/169	Escherichia coli	False
https://www.mdpi.com/2227-9059/12/1/169	Lactobacillus	True
https://www.mdpi.com/2227-9059/12/1/169	Clostridium difficile	True
https://www.mdpi.com/2227-9059/12/1/169	Streptococcus	True
https://www.mdpi.com/2227-9059/12/1/169	Escherichia coli	False
https://www.mdpi.com/2227-9059/12/1/169	Lactobacillus	True
https://www.mdpi.com/2227-9059/12/1/169	Bifidobacterium	True
https://www.mdpi.com/2227-9059/12/1/169	Clostridium difficile	True
https://www.mdpi.com/2227-9059/12/1/169	Streptococcus	True
https://www.mdpi.com/2227-9059/12/1/169	Bacteroides fragilis	False
https://www.mdpi.com/2227-9059/12/1/169	Escherichia coli	False
https://www.mdpi.com/2227-9059/12/1/169	Lactobacillus plantarum	True
https://www.mdpi.com/2227-9059/12/1/169	Streptococcus mutans	False
https://www.mdpi.com/2227-9059/12/1/169	Escherichia coli	False
