source	extracted_bacteria	is_present
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-022-05756-0	Staphylococcus aureus	True
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus	True
https://www.nature.com/articles/s41598-022-05756-0	Streptococcus	True
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus reuteri	False
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-022-05756-0	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41598-022-05756-0	Helicobacter pylori	False
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus	True
https://www.nature.com/articles/s41598-022-05756-0	Streptococcus	True
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus	True
https://www.nature.com/articles/s41598-022-05756-0	Streptococcus	True
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Staphylococcus aureus	True
https://www.nature.com/articles/s41598-022-05756-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-022-05756-0	Helicobacter pylori	False
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus reuteri	False
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus	True
https://www.nature.com/articles/s41598-022-05756-0	Streptococcus	True
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Streptococcus mutans	False
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-022-05756-0	Bifidobacterium longum	True
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Bacillus subtilis	False
https://www.nature.com/articles/s41598-022-05756-0	Staphylococcus aureus	True
https://www.nature.com/articles/s41598-022-05756-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-022-05756-0	Helicobacter pylori	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus plantarum	True
https://www.nature.com/articles/s41598-022-05756-0	Streptococcus mutans	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus reuteri	False
https://www.nature.com/articles/s41598-022-05756-0	Clostridium difficile	False
https://www.nature.com/articles/s41598-022-05756-0	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-05756-0	Escherichia coli	True
https://www.nature.com/articles/s41598-022-05756-0	Lactobacillus	True
https://www.nature.com/articles/s41598-022-05756-0	Clostridium difficile	False
