source	extracted_bacteria	is_present
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus	True
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus	True
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus mutans	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus mutans	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-018-35473-6	Clostridium difficile	False
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus mutans	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Clostridium difficile	False
https://www.nature.com/articles/s41598-018-35473-6	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-018-35473-6	Helicobacter pylori	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-018-35473-6	Clostridium difficile	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41598-018-35473-6	Clostridium difficile	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus	True
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus	True
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-018-35473-6	Clostridium difficile	False
https://www.nature.com/articles/s41598-018-35473-6	Helicobacter pylori	False
https://www.nature.com/articles/s41598-018-35473-6	Salmonella enterica	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-018-35473-6	Bifidobacterium breve	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus	True
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus	True
https://www.nature.com/articles/s41598-018-35473-6	Clostridium difficile	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus mutans	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Clostridium difficile	False
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41598-018-35473-6	Helicobacter pylori	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Lactobacillus	True
https://www.nature.com/articles/s41598-018-35473-6	Streptococcus	True
https://www.nature.com/articles/s41598-018-35473-6	Escherichia coli	False
https://www.nature.com/articles/s41598-018-35473-6	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-018-35473-6	Clostridium difficile	False
https://www.nature.com/articles/s41598-018-35473-6	Staphylococcus aureus	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus plantarum	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus mutans	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus plantarum	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus mutans	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus plantarum	False
https://www.nature.com/articles/s41405-020-0034-8	Clostridium difficile	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus mutans	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus plantarum	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Clostridium difficile	False
https://www.nature.com/articles/s41405-020-0034-8	Staphylococcus aureus	False
https://www.nature.com/articles/s41405-020-0034-8	Helicobacter pylori	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41405-020-0034-8	Clostridium difficile	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus acidophilus	False
https://www.nature.com/articles/s41405-020-0034-8	Clostridium difficile	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Staphylococcus aureus	False
https://www.nature.com/articles/s41405-020-0034-8	Clostridium difficile	False
https://www.nature.com/articles/s41405-020-0034-8	Helicobacter pylori	False
https://www.nature.com/articles/s41405-020-0034-8	Salmonella enterica	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus plantarum	False
https://www.nature.com/articles/s41405-020-0034-8	Bifidobacterium breve	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus	False
https://www.nature.com/articles/s41405-020-0034-8	Clostridium difficile	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus plantarum	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus mutans	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Clostridium difficile	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus pneumoniae	False
https://www.nature.com/articles/s41405-020-0034-8	Helicobacter pylori	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Lactobacillus	False
https://www.nature.com/articles/s41405-020-0034-8	Streptococcus	False
https://www.nature.com/articles/s41405-020-0034-8	Escherichia coli	False
https://www.nature.com/articles/s41405-020-0034-8	Bacteroides fragilis	False
https://www.nature.com/articles/s41405-020-0034-8	Clostridium difficile	False
https://www.nature.com/articles/s41405-020-0034-8	Staphylococcus aureus	False
https://www.nature.com/articles/s41598-022-21788-y	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-21788-y	Escherichia coli	False
https://www.nature.com/articles/s41598-022-21788-y	Lactobacillus	False
https://www.nature.com/articles/s41598-022-21788-y	Streptococcus	True
https://www.nature.com/articles/s41598-022-21788-y	Bacteroides fragilis	False
https://www.nature.com/articles/s41598-022-21788-y	Escherichia coli	False
https://www.nature.com/articles/s41598-022-21788-y	Lactobacillus plantarum	False
https://www.nature.com/articles/s41598-022-21788-y	Streptococcus mutans	False
